Name,Smiles,Standard Type,Standard Value,Activity class
13,C[C@@H]1COc2cc3[nH]c(=O)cc(C(F)(F)F)c3cc2N1CC(F)(F)F,Ki,0.9,0
31,CCCCN1CC(C)(C)C(Oc2ccc(C#N)c(C(F)(F)F)c2)C1=O,IC50,10,0
54,C[C@H]1CN(C(=O)Nc2ccc(C(F)(F)F)nc2)[C@H](C)CN1c1ccc(C#N)c(C(F)(F)F)c1,Ki,4.6,0
60,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43/C=C\F)C1CC[C@@H]2O,IC50,11,0
88,O=c1cc(C(F)(F)F)c2cc(N(CC(F)(F)F)CC(F)(F)F)ccc2[nH]1,Ki,1.5,0
97,CC1(C)CN(Cc2ccccc2)C(=O)C1Oc1ccc(C#N)c(C(F)(F)F)c1,IC50,11,0
117,Cc1ccc(C(=O)CC(Nc2ccc([N+](=O)[O-])cc2)c2ccccc2)cc1,Ki,18,0
126,CCCCn1nc(C)c(-c2ccc3c(c2)NC(=O)CO3)c1-c1ccc(F)cc1,IC50,3600,1
140,C[C@](O)(COc1ccc(C#N)cc1F)C(=O)N1CCc2c(C#N)cccc21,IC50,3.2,0
147,CC1(C)C(=O)N(c2ccc(C#N)c(Cl)c2)C(=S)N1CCCS(N)(=O)=O,IC50,12,0
160,Cc1cccc(OCCSc2nc3ccccc3n2CC(=O)OC(C)C)c1,IC50,13700,1
171,C[C@](O)(Cn1ccc2ccc([N+](=O)[O-])cc21)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,Ki,47,0
185,C[C@@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,IC50,7,0
193,CCc1ccccc1Oc1ccc(C#N)c(C(F)(F)F)c1,IC50,20,0
197,CC1(C)CCc2cc3c(C(F)(F)F)cc(C#N)nc3cc2N1,IC50,9,0
214,Cc1c(C#N)ccc(N2C(=O)[C@@H]3[C@H](O)CCN3C2=O)c1Cl,Ki,0.7,0
216,COc1ccccc1/C=C/C(=O)c1cc(Br)ccc1O,IC50,1000,0
226,O=c1cc(-c2ccc(F)cc2)oc2cccc(F)c12,IC50,190,0
241,C=CCC1Oc2cccc(OC(F)F)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,Ki,96.3,0
250,O=c1cc(C(F)F)c2cc(N(CC(F)(F)F)CC(F)(F)F)ccc2[nH]1,Ki,0.4,0
252,CC(C)N(CC(F)(F)F)c1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1,Ki,2.9,0
265,N#Cc1cccc2c(O[C@H]3CC[C@H](NC(=O)c4ccc(F)c(F)c4)CC3)ccnc12,IC50,14,0
269,N#Cc1cccc2c(O[C@H]3CC[C@H](NC(=O)c4cccc(F)c4)CC3)ccnc12,IC50,9,0
273,Cn1cc(N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc2)cc1C(=O)N1CCCC1,Ki,5,0
283,Nc1ccccc1Cc1n[nH]c(=O)c2ccccc12,IC50,220,0
294,CC[C@H]1[C@@H]2[C@H](O)CCN2C(=O)N1c1ccc(C#N)c(Cl)c1C,Ki,0.7,0
298,CC[C@]12CC[C@H](O)CC1=CCC1C3CC[C@H](O)[C@@]3(C)CCC12,IC50,33,0
309,N#Cc1ccc(-c2csc(N3C(=O)c4ccccc4C3=O)n2)cc1,IC50,10960,1
314,O=C(CC(Nc1ccc([N+](=O)[O-])cc1)C1CCCCC1)c1ccc(Br)cc1,Ki,35,0
323,C[C@](O)(COc1ccc(Br)cc1)C(=O)N1CCc2c(C#N)cccc21,IC50,2.4,0
329,COc1ncccc1NC(=O)N1C[C@H](C)N(c2ccc(C#N)c(C(F)(F)F)c2)C[C@H]1C,IC50,190,0
330,CCNc1ccc2c(C(F)(F)F)cc(=O)[nH]c2c1,Ki,29,0
